id,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
3993146,2008,7,31,4,2117,1952,19,2215,FL,579,N126AT,182,143,106,124,85,EWR,ATL,745,42,34,0,N,0,0,0,39,0,85
6517108,2008,12,19,5,1529,1415,1732,1545,WN,283,N358SW,123,90,106,107,74,DEN,SLC,391,8,9,0,N,0,0,55,33,0,19
5625950,2008,10,7,2,745,725,1537,1457,US,1490,N106US,292,272,274,40,20,LAX,CLT,2125,3,15,0,N,0,20,0,20,0,0
3200518,2008,6,22,7,1801,1746,2050,1950,OO,6060,N963SW,109,64,33,60,15,ORD,LAN,179,4,72,0,N,0,0,0,45,0,15
1511299,2008,3,19,3,1043,959,1237,1154,EV,4482,N724EV,54,55,33,43,44,BHM,ATL,134,12,9,0,N,0,2,0,0,0,41
2320639,2008,4,19,6,1537,1521,1942,1940,AS,162,N570AS,185,199,171,2,16,ANC,SEA,1449,3,11,0,N,0,,,,,
4751579,2008,8,3,7,1550,1540,1936,1940,AA,1720,N521AA,166,180,149,-4,10,DFW,IAD,1172,5,12,0,N,0,,,,,
5486273,2008,10,23,4,1526,1450,1754,1647,XE,3079,N15985,148,117,84,67,36,EWR,AVL,583,5,59,0,N,0,5,0,31,0,31
3730307,2008,7,2,3,1948,1925,2126,2117,XE,2912,N41104,98,112,78,9,23,ATL,CLE,554,4,16,0,N,0,,,,,
6388268,2008,11,7,5,1830,1745,2121,2015,AA,1696,N248AA,171,150,114,66,45,MSY,ORD,837,23,34,0,N,0,0,0,66,0,0
807359,2008,2,27,3,1301,1253,1802,1749,OO,6120,N772SK,181,176,158,13,8,DEN,PIT,1290,6,17,0,N,0,,,,,
93205,2008,1,31,4,1203,1145,1215,1205,WN,81,N701GS,72,80,57,10,18,PHX,SNA,338,6,9,0,N,0,,,,,
4066109,2008,7,8,2,1601,1532,1917,1826,NW,1107,N305US,196,174,163,51,29,RSW,DTW,1085,11,22,0,N,0,0,29,22,0,0
6603166,2008,12,1,1,1349,1310,1505,1433,OH,6556,N374CA,76,83,56,32,39,CVG,DCA,411,5,15,0,N,0,0,0,0,0,32
6987401,2008,12,10,3,1314,1300,1445,1443,CO,1695,N33292,211,223,179,2,14,IAH,LAX,1379,7,25,0,N,0,,,,,
3060873,2008,6,22,7,1500,1450,1746,1745,WN,2701,N507SW,106,115,91,1,10,LAX,ELP,714,4,11,0,N,0,,,,,
6594800,2008,12,23,2,2100,1830,2315,2031,YV,2621,N906FJ,195,181,153,164,150,CLT,AUS,1033,10,32,0,N,0,164,0,0,0,0
2288770,2008,4,1,2,1634,1620,1712,1705,AA,1312,N5CBAA,38,45,18,7,14,STT,SJU,68,5,15,0,N,0,,,,,
2322095,2008,4,22,2,851,840,1147,1200,AS,851,N557AS,356,380,340,-13,11,SEA,HNL,2677,4,12,0,N,0,,,,,
204755,2008,1,23,3,1737,1605,1847,1704,OO,5567,N293SW,70,59,44,103,92,SFO,FAT,158,9,17,0,N,0,103,0,0,0,0
6224431,2008,11,29,6,1309,1230,1411,1330,EV,4938,N845AS,62,60,47,41,39,AVL,ATL,164,9,6,0,N,0,2,0,2,0,37
6980189,2008,12,19,5,1713,1325,2021,1613,CO,36,N54241,188,168,123,248,228,MCO,EWR,938,56,9,0,N,0,0,0,248,0,0
3545746,2008,6,15,7,1810,1740,2035,1951,B6,937,N630JB,265,251,238,44,30,ORD,LGB,1735,5,22,0,N,0,0,0,14,0,30
2325633,2008,4,1,2,1611,1155,2106,1625,B6,624,N183JB,235,210,197,281,256,HOU,JFK,1428,12,26,0,N,0,80,0,201,0,0
3992756,2008,7,31,4,201,2310,258,10,FL,29,N938AT,57,60,42,168,171,ATL,CLT,227,4,11,0,N,0,0,0,0,0,168
1437661,2008,3,15,6,903,812,1308,1156,UA,1689,N472UA,245,224,199,72,51,IAD,SJU,1571,4,42,0,N,0,0,0,21,51,0
6138032,2008,11,17,1,936,920,1045,1056,UA,355,N567UA,129,156,113,-11,16,BDL,ORD,783,4,12,0,N,0,,,,,
5898045,2008,10,25,6,2333,2100,51,2247,B6,10,N594JB,78,107,51,124,153,JFK,BUF,301,3,24,0,N,0,124,0,0,0,0
3125756,2008,6,1,7,1636,1608,1625,1601,YV,7303,N75994,49,53,28,24,28,SBN,ORD,84,13,8,0,N,0,24,0,0,0,0
4309237,2008,8,25,1,1117,1105,1240,1215,WN,588,N349SW,83,70,54,25,12,SAN,PHX,304,5,24,0,N,0,0,0,18,0,7
3667569,2008,7,21,1,2016,1945,2128,2110,WN,2277,N213WN,132,145,114,18,31,TPA,STL,869,4,14,0,N,0,0,2,0,0,16
5435179,2008,10,18,6,811,805,900,900,WN,2096,N694SW,109,115,96,0,6,ORF,BNA,585,5,8,0,N,0,,,,,
4975303,2008,9,25,4,1647,1640,1751,1748,YV,2625,N917FJ,124,128,91,3,7,CLT,STL,575,4,29,0,N,0,,,,,
4325187,2008,8,30,6,825,810,941,935,WN,2196,N476WN,76,85,66,6,15,OAK,LAS,407,4,6,0,N,0,,,,,
5869942,2008,10,6,1,1318,1120,1806,1605,AA,2167,N5ECAA,168,165,125,121,118,LAS,DFW,1055,16,27,0,N,0,12,0,3,0,106
6940706,2008,12,15,1,947,930,1144,1150,AA,2332,N493AA,117,140,103,-6,17,DFW,ORD,802,6,8,0,N,0,,,,,
5479467,2008,10,31,5,741,730,910,905,XE,2390,N11191,89,95,71,5,11,CLE,MHT,544,8,10,0,N,0,,,,,
909731,2008,2,28,4,1159,600,1445,858,EV,4159,N724EV,106,118,90,347,359,OKC,ATL,761,7,9,0,N,0,347,0,0,0,0
250524,2008,1,7,1,830,823,1047,1000,UA,1425,N496UA,137,97,75,47,7,LAS,SFO,414,30,32,0,N,0,0,0,47,0,0
1358509,2008,3,8,6,621,600,817,627,OO,6030,N960SW,176,87,61,110,21,LEX,ORD,323,34,81,0,N,0,110,0,0,0,0
6983991,2008,12,14,7,1033,1025,1838,1841,CO,16,N13113,305,316,276,-3,8,LAX,EWR,2454,16,13,0,N,0,,,,,
6952350,2008,12,25,4,1941,1826,2021,1906,AS,67,N705AS,40,40,22,75,75,SIT,JNU,95,4,14,0,N,0,0,0,0,0,75
3007870,2008,6,6,5,1149,1140,1350,1345,WN,1076,N600WN,61,65,52,5,9,MDW,CLE,307,3,6,0,N,0,,,,,
6111913,2008,11,12,3,1731,1715,2048,2038,OO,5864,N730SK,137,143,113,10,16,PDX,DEN,992,9,15,0,N,0,,,,,
497956,2008,1,8,2,2100,2005,2302,2150,AA,1081,N584AA,182,165,144,72,55,BOS,ORD,867,12,26,0,N,0,0,0,18,0,54
1247170,2008,3,24,1,1124,1105,1246,1220,WN,228,N615SW,82,75,65,26,19,PVD,BWI,328,4,13,0,N,0,11,0,7,0,8
4235277,2008,8,3,7,1926,1905,2045,2025,WN,1771,N605SW,79,80,56,20,21,PHX,LAX,370,15,8,0,N,0,9,0,0,0,11
3672796,2008,7,23,3,1637,1545,1926,1735,WN,2279,N363SW,229,170,149,111,52,MCO,MDW,989,3,77,0,N,0,0,0,59,0,52
5347840,2008,9,9,2,1215,1140,1630,1632,CO,152,N67134,195,232,175,-2,35,IAH,EWR,1400,9,11,0,N,0,,,,,
1197180,2008,3,9,7,1439,1430,1717,1715,WN,2268,N781WN,98,105,84,2,9,SAN,ABQ,628,5,9,0,N,0,,,,,
2729730,2008,5,13,2,1258,1245,1414,1405,EV,4887,N716EV,76,80,48,9,13,CHS,ATL,259,15,13,0,N,0,,,,,
1277962,2008,3,20,4,1005,955,1242,1243,XE,7669,N12172,97,108,76,-1,10,ONT,SLC,558,9,12,0,N,0,,,,,
380967,2008,1,27,7,1946,1900,2040,1950,MQ,3090,N313AE,54,50,29,50,46,SAN,LAX,109,8,17,0,N,0,0,0,4,0,46
4630124,2008,8,15,5,1905,1840,1958,1945,MQ,3510,N676AE,53,65,37,13,25,SHV,DFW,190,10,6,0,N,0,,,,,
1355315,2008,3,6,4,1034,945,1213,1130,OO,6045,N930SW,99,105,74,43,49,ORD,FSD,462,5,20,0,N,0,43,0,0,0,0
360476,2008,1,10,4,1206,1200,1323,1326,FL,832,N968AT,77,86,62,-3,6,ATL,MCO,403,6,9,0,N,0,,,,,
6195510,2008,11,30,7,1641,1555,1923,1855,US,1417,N172US,342,360,307,28,46,PHL,LAX,2401,12,23,0,N,0,9,0,0,0,19
5877846,2008,10,9,4,1112,1100,1421,1340,AS,91,N564AS,249,220,228,41,12,SEA,ANC,1449,6,15,0,N,0,12,0,29,0,0
3022414,2008,6,10,2,1355,1345,1543,1530,WN,328,N334SW,108,105,97,13,10,SMF,SEA,605,4,7,0,N,0,,,,,
125310,2008,1,28,1,1025,900,1251,1133,XE,2254,N12160,146,153,126,78,85,IAH,ORD,925,4,16,0,N,0,0,0,78,0,0
3855259,2008,7,5,6,1619,1505,1834,1748,UA,735,N312UA,135,163,121,46,74,ORD,IAH,925,4,10,0,N,0,37,0,0,0,9
3030146,2008,6,13,5,2119,2010,2224,2120,WN,801,N237WN,65,70,54,64,69,CLE,BWI,314,4,7,0,N,0,0,3,0,0,61
2417491,2008,5,11,7,1544,1530,1719,1700,WN,1872,N305SW,215,210,204,19,14,STL,LAS,1372,5,6,0,N,0,2,0,5,0,12
1938555,2008,4,28,1,1520,1501,2001,1932,YV,2884,N907FJ,161,151,136,29,19,PHX,IAH,1009,6,19,0,N,0,29,0,0,0,0
5574296,2008,10,3,5,2015,1947,2314,2301,OO,6496,N920SW,119,134,106,13,28,LAX,COS,833,6,7,0,N,0,,,,,
3777831,2008,7,9,3,825,755,1048,954,OH,5253,N809CA,143,119,107,54,30,EWR,CVG,569,4,32,0,N,0,30,0,24,0,0
4165920,2008,7,4,5,1704,1630,2003,1925,B6,430,N593JB,179,175,145,38,34,MCO,BOS,1121,8,26,0,N,0,4,0,4,0,30
589521,2008,1,2,3,2003,1925,2,2311,DL,897,N655DL,239,226,153,51,38,JFK,FLL,1069,8,78,0,N,0,0,0,13,0,38
1030320,2008,2,22,5,1726,1720,1907,1845,NW,1645,N336NB,161,145,133,22,6,DCA,MEM,762,10,18,0,N,0,1,0,16,0,5
2517312,2008,5,2,5,804,755,943,930,XE,3061,N13914,99,95,77,13,9,TUL,IAH,429,11,11,0,N,0,,,,,
4837043,2008,8,11,1,1840,1735,2117,2026,DL,716,N994DL,157,171,131,51,65,ATL,BOS,946,11,15,0,N,0,0,0,51,0,0
6864737,2008,12,15,1,1932,1925,2026,2028,NW,924,N778NC,54,63,37,-2,7,MSP,MSN,228,3,14,0,N,0,,,,,
6558229,2008,12,28,7,1523,1453,1630,1617,XE,2097,N11192,127,144,114,13,30,IAH,COS,809,6,7,0,N,0,,,,,
2006993,2008,4,11,5,1317,1300,2143,2129,UA,82,N665UA,326,329,290,14,17,HNL,LAX,2556,10,26,0,N,0,,,,,
4426830,2008,8,14,4,1516,1440,1641,1604,OO,5788,N566SW,85,84,69,37,36,FAT,LAS,258,6,10,0,N,0,36,0,1,0,0
4828363,2008,8,4,1,1312,1255,1554,1527,DL,917,N706TW,162,152,113,27,17,LGA,ATL,761,13,36,0,N,0,2,0,10,0,15
3882160,2008,7,9,3,52,2206,219,2351,US,984,N716UW,147,165,134,148,166,CLT,MSP,930,3,10,0,N,0,0,0,0,0,148
6530582,2008,12,23,2,1917,1840,2212,2150,WN,2793,N251WN,115,130,98,22,37,OAK,ABQ,889,4,13,0,N,0,5,0,0,0,17
1300359,2008,3,26,3,2146,2030,2312,2220,XE,2665,N13965,86,110,64,52,76,DTW,EWR,487,6,16,0,N,0,0,0,52,0,0
370865,2008,1,26,6,1251,1242,1529,1521,FL,563,N318AT,98,99,79,8,9,BMI,ATL,533,6,13,0,N,0,,,,,
3209099,2008,6,27,5,1645,1539,2110,2000,OO,6086,N718SK,205,201,174,70,66,BOI,ORD,1437,9,22,0,N,0,0,0,70,0,0
5187627,2008,9,11,4,1909,1735,2032,1900,MQ,3171,N848AE,83,85,61,92,94,SJC,SNA,342,5,17,0,N,0,0,0,0,0,92
4847407,2008,9,3,3,1156,1055,1256,1150,WN,1747,N670SW,60,55,44,66,61,SAT,DAL,248,2,14,0,N,0,5,0,5,0,56
1192610,2008,3,8,6,620,610,709,700,WN,232,N619SW,49,50,39,9,10,HOU,SAT,192,3,7,0,N,0,,,,,
5461211,2008,10,26,7,2028,2000,29,2355,WN,1427,N270WN,121,115,110,34,28,PHX,SAT,843,3,8,0,N,0,27,0,6,0,1
7007392,2008,12,11,4,1134,1045,1416,1334,DL,1494,N999DN,162,169,126,42,49,PBI,LGA,1035,13,23,0,N,0,0,0,42,0,0
4086044,2008,7,11,5,848,840,1027,1018,9E,5621,89079E,159,158,134,9,8,TYS,MSP,792,16,9,0,N,0,,,,,
1568151,2008,3,2,7,1920,1910,2125,2040,MQ,3351,N636AE,125,90,101,45,10,MCI,DAL,461,5,19,0,N,0,0,0,35,0,10
3545712,2008,6,15,7,1817,1730,2116,2017,B6,394,N652JB,179,167,147,59,47,MCO,LGA,950,6,26,0,N,0,0,0,59,0,0
6157729,2008,11,7,5,1932,1612,2138,1750,UA,1524,N484UA,126,98,76,228,200,SFO,LAS,414,16,34,0,N,0,76,0,28,0,124
66114,2008,1,23,3,1347,1330,1609,1615,WN,331,N311SW,142,165,131,-6,17,MCO,CLE,895,4,7,0,N,0,,,,,
792542,2008,2,18,1,1609,1418,1911,1719,OO,5810,N750SK,122,121,96,112,111,ORD,ORF,717,4,22,0,N,0,0,0,0,0,112
6694810,2008,12,1,1,2010,1905,2139,2042,US,1292,N449US,89,97,71,57,65,TPA,CLT,508,4,14,0,N,0,0,0,0,0,57
4636580,2008,8,8,5,1556,1550,1700,1700,MQ,3751,N935AE,64,70,49,0,6,DFW,MAF,309,2,13,0,N,0,,,,,
845270,2008,2,21,4,1518,1455,1707,1659,UA,1535,N480UA,169,184,149,8,23,MCO,ORD,1005,11,9,0,N,0,,,,,
3244382,2008,6,27,5,2210,2054,2212,2114,UA,1027,N501UA,62,80,44,58,76,DTW,ORD,235,4,14,0,N,0,0,0,0,0,58
6272737,2008,11,29,6,1638,1610,1814,1742,FL,195,N940AT,96,92,72,32,28,IND,ATL,432,9,15,0,N,0,0,0,4,0,28
3685832,2008,7,27,7,1843,1820,2129,2100,WN,1785,N624SW,106,100,85,29,23,LAX,SLC,590,8,13,0,N,0,4,0,6,0,19
3575667,2008,6,1,7,1258,1220,1540,1505,CO,1493,N75861,162,165,127,35,38,MCO,EWR,938,11,24,0,N,0,0,0,35,0,0
3673434,2008,7,23,3,1037,1015,1317,1300,WN,2438,N497WN,220,225,183,17,22,PHL,HOU,1335,5,32,0,N,0,15,0,0,0,2
4025436,2008,7,25,5,1526,1505,1729,1720,MQ,4093,N612AE,63,75,45,9,21,ORD,CVG,264,4,14,0,N,0,,,,,
1282399,2008,3,9,7,1422,1315,1525,1417,XE,3106,N14950,63,62,41,68,67,EWR,SYR,194,5,17,0,N,0,67,0,1,0,0
668677,2008,2,22,5,2003,1825,2101,1900,WN,1631,N324SW,118,95,84,121,98,ABQ,LAS,487,26,8,0,N,0,3,0,23,0,95
6966196,2008,12,23,2,1938,1830,2206,2047,B6,337,N229JB,148,137,116,79,68,IAD,MCO,758,10,22,0,N,0,8,0,11,0,60
5933583,2008,10,8,3,1623,1557,1804,1713,DL,1590,N965DL,101,76,46,51,26,ATL,CHS,259,5,50,0,N,0,0,0,25,0,26
558999,2008,1,24,4,1045,1035,1256,1305,B6,822,N630JB,131,150,112,-9,10,MCO,JFK,944,3,16,0,N,0,,,,,
3033839,2008,6,14,6,1407,1400,1449,1445,WN,2587,N692SW,42,45,30,4,7,HOU,AUS,148,4,8,0,N,0,,,,,
6578751,2008,12,2,2,1826,1810,2134,2144,XE,2197,N14960,128,154,105,-10,16,MSN,EWR,799,12,11,0,N,0,,,,,
1932566,2008,4,20,7,1427,1312,1511,1407,YV,7236,N75996,44,55,27,64,75,MSN,ORD,109,4,13,0,N,0,0,0,0,0,64
1427034,2008,3,27,4,1230,1215,1747,1748,UA,1120,N313UA,197,213,181,-1,15,DEN,PHL,1557,6,10,0,N,0,,,,,
4624158,2008,8,4,1,1102,1055,1231,1232,MQ,3228,N320AE,89,97,68,-1,7,MLU,DFW,293,13,8,0,N,0,,,,,
1634210,2008,3,9,7,1816,1708,1918,1804,NW,1750,N8929E,62,56,21,74,68,DTW,CLE,95,16,25,0,N,0,68,0,6,0,0
3074170,2008,6,26,4,2129,2050,2215,2140,WN,51,N616SW,46,50,35,35,39,HOU,CRP,187,5,6,0,N,0,8,0,0,0,27
3595761,2008,6,13,5,1656,1645,1834,1821,DL,109,N974DL,98,96,60,13,11,ATL,TPA,406,6,32,0,N,0,,,,,
5963529,2008,11,10,1,1752,1735,1937,1910,WN,529,N512SW,105,95,82,27,17,DAL,STL,546,4,19,0,N,0,2,0,10,0,15
4024568,2008,7,21,1,1120,1050,1407,1320,MQ,4062,N685AE,107,90,69,47,30,ORD,BUF,473,3,35,0,N,0,0,0,18,0,29
2361694,2008,4,4,5,2023,2000,2258,2255,CO,1835,N76504,335,355,311,3,23,EWR,PHX,2133,4,20,0,N,0,,,,,
5951560,2008,11,6,4,807,800,1250,1300,WN,813,N426WN,163,180,152,-10,7,LAS,HOU,1235,4,7,0,N,0,,,,,
3922487,2008,7,23,3,2134,2125,602,600,DL,610,N3768,328,335,301,2,9,LAX,JFK,2475,12,15,0,N,0,,,,,
4048848,2008,7,13,7,1005,900,1646,1603,NW,264,N371NW,221,243,195,43,65,PHX,DTW,1671,7,19,0,N,0,43,0,0,0,0
1847076,2008,4,20,7,2040,1930,2134,2025,WN,54,N324SW,54,55,43,69,70,HOU,DAL,239,3,8,0,N,0,17,0,0,0,52
5830013,2008,10,21,2,1802,1710,2044,2015,AA,375,N517AA,222,245,200,29,52,JFK,DFW,1391,9,13,0,N,0,7,0,0,0,22
2988060,2008,5,12,1,1830,1815,2018,2009,DL,877,N919DE,108,114,85,9,15,ORF,ATL,516,13,10,0,N,0,,,,,
3330335,2008,6,12,4,2053,2045,2245,2242,EV,4651,N833AS,112,117,86,3,8,ATL,GRR,640,3,23,0,N,0,,,,,
6982652,2008,12,16,2,1828,1805,2340,2309,CO,312,N14230,252,244,182,31,23,EWR,BQN,1585,6,64,0,N,0,0,23,8,0,0
6804661,2008,12,24,3,1021,1000,1200,1130,FL,127,N283AT,99,90,64,30,21,ATL,TPA,406,4,31,0,N,0,21,0,9,0,0
